image_id,task,n_votes,n_pos,n_neg,score,prob_usable,label
053_jpg.rf.0a5abe5fbf66f06c41dcb869cb43248b,1_maturity_evaluation,1,1,0,1.0,0.7311,1
053_jpg.rf.16a87b38237cbf12321887f8e63c85c4,1_maturity_evaluation,1,1,0,1.0,0.7311,1
053_jpg.rf.83811c2315128bad87d28f5f8a46b6ce,1_maturity_evaluation,1,1,0,1.0,0.7311,1
054_jpg.rf.6985931b12ca60bf2189a937b2c50156,1_maturity_evaluation,1,1,0,1.0,0.7311,1
054_jpg.rf.6b7ae3ea381fcc5de3ed3f4a0d74b365,1_maturity_evaluation,1,1,0,1.0,0.7311,1
054_jpg.rf.aec3073824f8f99b3518db16e6223ba0,1_maturity_evaluation,1,1,0,1.0,0.7311,1
055_jpeg.rf.48b25d091dadf1161944a77b019a0985,1_maturity_evaluation,1,1,0,1.0,0.7311,1
056_jpg.rf.fbf3c79d8c7938ab258e2114633d2f53,1_maturity_evaluation,1,1,0,1.0,0.7311,1
057_jpg.rf.44bb885372d871dd557018b3a86e9093,1_maturity_evaluation,1,1,0,1.0,0.7311,1
057_jpg.rf.7c2838abc46a6556989b2664b62f2eff,1_maturity_evaluation,1,1,0,1.0,0.7311,1
057_jpg.rf.d84497872036225588007593a488ebb3,1_maturity_evaluation,1,1,0,1.0,0.7311,1
058_jpg.rf.4468c7749beadcde397c966f11caafa5,1_maturity_evaluation,1,1,0,1.0,0.7311,1
058_jpg.rf.baa7f434506f55a353853f01817f9517,1_maturity_evaluation,1,1,0,1.0,0.7311,1
058_jpg.rf.e53e230ffc69dddd9a1950f8960991f0,1_maturity_evaluation,1,1,0,1.0,0.7311,1
059_jpg.rf.1366af527e37219789b57ade7b18f5ca,1_maturity_evaluation,1,1,0,1.0,0.7311,1
059_jpg.rf.21972af4bf364619536f460d795fd1d6,1_maturity_evaluation,1,1,0,1.0,0.7311,1
059_jpg.rf.8b00e073b8624e12be8deb66dcb133c5,1_maturity_evaluation,1,1,0,1.0,0.7311,1
05_jpg.rf.205ee0c8cb4e19eeda2b6709b9af9d33,1_maturity_evaluation,1,1,0,1.0,0.7311,1
05_jpg.rf.5a152404a6cf132f67407de3d139fa7d,1_maturity_evaluation,1,1,0,1.0,0.7311,1
05_jpg.rf.f7f25e167da5c8ba5e1a372fb3f53d33,1_maturity_evaluation,1,1,0,1.0,0.7311,1
060_jpg.rf.6f9604db77a3721e34fa7b8806c51211,1_maturity_evaluation,1,1,0,1.0,0.7311,1
060_jpg.rf.9a5367eee35f0210f72ea81c45dd2b04,1_maturity_evaluation,1,1,0,1.0,0.7311,1
060_jpg.rf.d8830cc9a1eb158cf405e880bb7b60c0,1_maturity_evaluation,1,1,0,1.0,0.7311,1
061_jpg.rf.0047fc7c272411ab8cb5459dfc84bcd8,1_maturity_evaluation,1,1,0,1.0,0.7311,1
061_jpg.rf.02055709ae2d983524f343102687a167,1_maturity_evaluation,1,1,0,1.0,0.7311,1
061_jpg.rf.4a33f2aceb36f117d16ccc4381cbc5eb,1_maturity_evaluation,1,1,0,1.0,0.7311,1
062_jpg.rf.ac95db25f27ea09ca0c30238c43e8095,1_maturity_evaluation,1,1,0,1.0,0.7311,1
062_jpg.rf.b374fed271bb813e90e6b8de6c893264,1_maturity_evaluation,1,1,0,1.0,0.7311,1
062_jpg.rf.d594e46bdf5f5165441daae6c15e3e7b,1_maturity_evaluation,1,1,0,1.0,0.7311,1
064_jpg.rf.6e73bcbb321362fa2144a50ddffd3b90,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
065_jpg.rf.74d068653c1483b865ce3ca36bf93714,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
065_jpg.rf.a18b513c2174bf6a0fe5185b6bc46341,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
065_jpg.rf.b06d7ffbfac972059d61b1be4b9219b5,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
066_jpg.rf.815aca1ae83da1f0c538e536f02933b9,1_maturity_evaluation,1,1,0,1.0,0.7311,1
067_jpg.rf.09b5ff924209d25731f8ddb5c3691c97,1_maturity_evaluation,1,1,0,1.0,0.7311,1
067_jpg.rf.cba162f5906e14a849f29c6c2d61279b,1_maturity_evaluation,1,1,0,1.0,0.7311,1
067_jpg.rf.ecc70ae5d38791842e7d02b614112463,1_maturity_evaluation,1,1,0,1.0,0.7311,1
069_jpg.rf.03ec90b6a9afe9a0ac54b6853b211c29,1_maturity_evaluation,1,1,0,1.0,0.7311,1
069_jpg.rf.b4722b28f23b1029a6622a6a8ae3c0b6,1_maturity_evaluation,1,1,0,1.0,0.7311,1
069_jpg.rf.d2f46165d58271ad3bea945085cac871,1_maturity_evaluation,1,1,0,1.0,0.7311,1
06_jpg.rf.5172ca7ed7bc6de67ef030732e7c4833,1_maturity_evaluation,1,1,0,1.0,0.7311,1
072_jpg.rf.129748a6b0ce5509f141f1b91a41371a,1_maturity_evaluation,1,1,0,1.0,0.7311,1
072_jpg.rf.1857b0cbecbd7389289ca716a22794fb,1_maturity_evaluation,1,1,0,1.0,0.7311,1
072_jpg.rf.4f242e52f68c6a904a48387072357f46,1_maturity_evaluation,1,1,0,1.0,0.7311,1
073_jpg.rf.44364eb14fc387e9f682cc248d1c0b34,1_maturity_evaluation,1,1,0,1.0,0.7311,1
073_jpg.rf.890cb6901fbec700491e8098e7f3648f,1_maturity_evaluation,1,1,0,1.0,0.7311,1
073_jpg.rf.a4b65d0d4da654e85e4c7d61bd507290,1_maturity_evaluation,1,1,0,1.0,0.7311,1
075_jpg.rf.8a986ed998fd3cda347c48dff38726ea,1_maturity_evaluation,1,1,0,1.0,0.7311,1
075_jpg.rf.b666e4fc7ee8c4ce505b0bab6fe7e710,1_maturity_evaluation,1,1,0,1.0,0.7311,1
075_jpg.rf.f4920136713ded9552210396ce2de76d,1_maturity_evaluation,1,1,0,1.0,0.7311,1
077_jpg.rf.15ee587cb6101e3f601bfa8c292159cf,1_maturity_evaluation,1,1,0,1.0,0.7311,1
077_jpg.rf.ae8921a050c5740ed2e80220bf0b7d17,1_maturity_evaluation,1,1,0,1.0,0.7311,1
077_jpg.rf.e0397e777f032ab8a01a34b870c0c025,1_maturity_evaluation,1,1,0,1.0,0.7311,1
078_jpg.rf.09cbab20676d70179f508ea037e2fed5,1_maturity_evaluation,1,1,0,1.0,0.7311,1
078_jpg.rf.5c2430889e2c4a6d7c9e719eb99a1011,1_maturity_evaluation,1,1,0,1.0,0.7311,1
078_jpg.rf.be4cccd19ea5014f9892258fee442daa,1_maturity_evaluation,1,1,0,1.0,0.7311,1
079_jpg.rf.f1e20bc316c0456c6c51b937d4af2011,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
07_jpg.rf.0f23d3d4c678de04e163a34aee36da16,1_maturity_evaluation,1,1,0,1.0,0.7311,1
07_jpg.rf.859a49ad609c7023ae5346eb526eb56c,1_maturity_evaluation,1,1,0,1.0,0.7311,1
07_jpg.rf.93701b47a0e08fda75130161af969c7d,1_maturity_evaluation,1,1,0,1.0,0.7311,1
080_jpg.rf.08f1b3f457a0dcd2ba624648e37c9462,1_maturity_evaluation,1,1,0,1.0,0.7311,1
080_jpg.rf.6a2b1a8079f10dd08744eaabb7470f3e,1_maturity_evaluation,1,1,0,1.0,0.7311,1
080_jpg.rf.cad406ef56d7e32b0f8828e04ada9470,1_maturity_evaluation,1,1,0,1.0,0.7311,1
081_jpg.rf.449d3c0358eaf9bec929a92fbd41a970,1_maturity_evaluation,1,1,0,1.0,0.7311,1
081_jpg.rf.8450f3f488d6449d6e478ad256af1e61,1_maturity_evaluation,1,1,0,1.0,0.7311,1
081_jpg.rf.b85896cc303c63f446e561f970749ab8,1_maturity_evaluation,1,1,0,1.0,0.7311,1
082_jpg.rf.662233f61856735daecb3045eeda229a,1_maturity_evaluation,1,1,0,1.0,0.7311,1
082_jpg.rf.98e8f213a93183d8395aec3d6e6505dd,1_maturity_evaluation,1,1,0,1.0,0.7311,1
082_jpg.rf.a5c4f5b8f70dac85208dea145a0aa902,1_maturity_evaluation,1,1,0,1.0,0.7311,1
083_jpg.rf.b86a1677e764495eec3499910aab985c,1_maturity_evaluation,1,1,0,1.0,0.7311,1
084_jpg.rf.c38b1b0ec46c01e0824f38830107a514,1_maturity_evaluation,1,1,0,1.0,0.7311,1
085_jpg.rf.16c59ed8d283b919dcf3f6cb531a79ad,1_maturity_evaluation,1,1,0,1.0,0.7311,1
085_jpg.rf.7ac87ed2792fc578848eb1e3a6ac086f,1_maturity_evaluation,1,1,0,1.0,0.7311,1
085_jpg.rf.bcb283a5b4dc198245ceb72d8b8eef29,1_maturity_evaluation,1,1,0,1.0,0.7311,1
087_jpg.rf.0e4f02fe34ff0f349b683e99ea53b1b9,1_maturity_evaluation,1,1,0,1.0,0.7311,1
087_jpg.rf.c0682e3deab1112ced1e6861d880eb32,1_maturity_evaluation,1,1,0,1.0,0.7311,1
087_jpg.rf.ee39d0e2229c4ecc9bd2b9c6455383a0,1_maturity_evaluation,1,1,0,1.0,0.7311,1
088_jpg.rf.2959e01e7fc0b7160cbe76b5b2198e30,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
088_jpg.rf.31690d5b65ee8f5076358345607566fe,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
088_jpg.rf.efb0d31ad7c58c988208c3d07df9333c,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
089_jpg.rf.fa1ba0a7d3f53d8e5987bd14527ffc0d,1_maturity_evaluation,1,1,0,1.0,0.7311,1
08_jpg.rf.0286ef27b25b2857d4ffab88bb5ffaad,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
08_jpg.rf.92b6c67243232bb3e35617db12a18f5e,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
08_jpg.rf.a2ea044a34cd56db3f530ba49c0eb810,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
090_jpg.rf.746355ed00064913ca06f842f30c30ca,1_maturity_evaluation,1,1,0,1.0,0.7311,1
090_jpg.rf.8511ec746657d19f858fe11ba3357367,1_maturity_evaluation,1,1,0,1.0,0.7311,1
090_jpg.rf.d5d39b39d9bbf9bf5642883260b853bc,1_maturity_evaluation,1,1,0,1.0,0.7311,1
091_jpg.rf.0c3d7c8ac2302fe012da72e4f2f08df0,1_maturity_evaluation,1,1,0,1.0,0.7311,1
091_jpg.rf.35796d6fb0b48de809ea4796e9d9d9b8,1_maturity_evaluation,1,1,0,1.0,0.7311,1
091_jpg.rf.b063ab3500215e2125484c95ca4dfc1d,1_maturity_evaluation,1,1,0,1.0,0.7311,1
092_jpg.rf.3e536be545670c1b9ca189ab347165fc,1_maturity_evaluation,1,1,0,1.0,0.7311,1
092_jpg.rf.61de8048dbf0cd09c0ac3a3ee04a154f,1_maturity_evaluation,1,1,0,1.0,0.7311,1
092_jpg.rf.dd71d718da0b265285bf8d4a90ae6b04,1_maturity_evaluation,1,1,0,1.0,0.7311,1
093_jpg.rf.0344206d0b6e7aade8ede091765f857d,1_maturity_evaluation,1,1,0,1.0,0.7311,1
093_jpg.rf.60384f00ce3c04dc427fb62397bbf626,1_maturity_evaluation,1,1,0,1.0,0.7311,1
093_jpg.rf.cb69b67c0ac05b7d51cbf1a31e346f1c,1_maturity_evaluation,1,1,0,1.0,0.7311,1
094_jpg.rf.a2b00b86e068c19634c00bef0c3f6b54,1_maturity_evaluation,1,1,0,1.0,0.7311,1
095_jpg.rf.ac8021e6b25b5ff6ad5d36bf1e3989ea,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
095_jpg.rf.af6d1ea6cee18196652bc58ab2446325,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
095_jpg.rf.c875f6bf70317f7ebc5537e4a2d317e8,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
096_jpg.rf.41d05085dd67f932e39af8c0ddbb5c8d,1_maturity_evaluation,1,1,0,1.0,0.7311,1
096_jpg.rf.bc8e5ea485126ee2042a4f121156603c,1_maturity_evaluation,1,1,0,1.0,0.7311,1
096_jpg.rf.d040196a3495925290349ca67b41d4a1,1_maturity_evaluation,1,1,0,1.0,0.7311,1
097_jpg.rf.0d76c631d3f141e6f5af5471fa6dd741,1_maturity_evaluation,1,1,0,1.0,0.7311,1
097_jpg.rf.4f06cbddfce84d59d2c91328f3147f7f,1_maturity_evaluation,1,1,0,1.0,0.7311,1
097_jpg.rf.db220ab08bd12b39391297abdb02deeb,1_maturity_evaluation,1,1,0,1.0,0.7311,1
09_jpg.rf.334c8d0b95bdea8afc482c6b8301da8b,1_maturity_evaluation,1,1,0,1.0,0.7311,1
09_jpg.rf.5d5f5c8e5056e037f4161575f18fe794,1_maturity_evaluation,1,1,0,1.0,0.7311,1
09_jpg.rf.6396888c62ea7de5666ecdc505b906c4,1_maturity_evaluation,1,1,0,1.0,0.7311,1
100_jpg.rf.13f4df25eb834d4749dc88e32b10007c,1_maturity_evaluation,1,1,0,1.0,0.7311,1
100_jpg.rf.9fc8f5bd005d066e8347ce3069bb49e1,1_maturity_evaluation,1,1,0,1.0,0.7311,1
100_jpg.rf.fa2f41ff4877cdb69ad841c4c5474cb6,1_maturity_evaluation,1,1,0,1.0,0.7311,1
101_jpg.rf.384207a2c5706a096d0210403e8fc624,1_maturity_evaluation,1,1,0,1.0,0.7311,1
101_jpg.rf.5d597a8360ccd8ae27a1dfa8e59fe827,1_maturity_evaluation,1,1,0,1.0,0.7311,1
101_jpg.rf.8d7161a63bf0b34f65ba1d65b4f71146,1_maturity_evaluation,1,1,0,1.0,0.7311,1
102_jpg.rf.28a733fba27d71952c071cf9cf389167,1_maturity_evaluation,1,1,0,1.0,0.7311,1
102_jpg.rf.4b4b9553e76010020981ff475fb4890d,1_maturity_evaluation,1,1,0,1.0,0.7311,1
102_jpg.rf.5e438296c9dbcd36c20a8d35e3f2e7f1,1_maturity_evaluation,1,1,0,1.0,0.7311,1
103_jpg.rf.38f6ee3b1beb1749808525423527e1e0,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
103_jpg.rf.a1d2ff13ff14ea4a0343b95628970e17,1_maturity_evaluation,1,1,0,1.0,0.7311,1
103_jpg.rf.a86a1bf5d0614be8014f6c55ddcbf190,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
104_jpg.rf.6b6a577d02b54aa93edb64c16ff47ca0,1_maturity_evaluation,1,0,1,-1.0,0.2689,0
105_jpg.rf.0a831c1f7910d2cebc2a79ec6677aed1,1_maturity_evaluation,1,1,0,1.0,0.7311,1
106_jpg.rf.1cd863804f43b1802c50bc5e879775de,1_maturity_evaluation,1,1,0,1.0,0.7311,1
106_jpg.rf.e86ec5511f5323c692a23f3fb9961ff5,1_maturity_evaluation,1,1,0,1.0,0.7311,1
106_jpg.rf.f546c84c22ab34ef7bbf7557b464603b,1_maturity_evaluation,1,1,0,1.0,0.7311,1
107_jpg.rf.5f9841f56e824f142c0f3f483285b93c,1_maturity_evaluation,1,1,0,1.0,0.7311,1
107_jpg.rf.75a33237915a78efb9e30d425d145a52,1_maturity_evaluation,1,1,0,1.0,0.7311,1
107_jpg.rf.b458e3f96264a1c410446cd4175d5455,1_maturity_evaluation,1,1,0,1.0,0.7311,1
108_jpg.rf.239c9a57dd8d0b1c98e6467500b8a6c9,1_maturity_evaluation,1,1,0,1.0,0.7311,1
108_jpg.rf.6239bba02c9cf277a0e6e6efcf466cc7,1_maturity_evaluation,1,1,0,1.0,0.7311,1
108_jpg.rf.62719b2003155a94d2eebc8650fde44d,1_maturity_evaluation,1,1,0,1.0,0.7311,1
109_jpg.rf.4b12dda522493d7013b2f3877327a802,1_maturity_evaluation,1,1,0,1.0,0.7311,1
109_jpg.rf.5146aecd9c19f348f6838ca6699f0caa,1_maturity_evaluation,1,1,0,1.0,0.7311,1
109_jpg.rf.675f885a27e04026805c270cc1621913,1_maturity_evaluation,1,1,0,1.0,0.7311,1
10_jpg.rf.1cea6172c6d6f9b44feafcc202fa4e7b,1_maturity_evaluation,1,1,0,1.0,0.7311,1
10_jpg.rf.8f68def0e2078b6d9cbfd7b87f3771b8,1_maturity_evaluation,1,1,0,1.0,0.7311,1
10_jpg.rf.fc5fa083406ea64c23e7796084faa615,1_maturity_evaluation,1,1,0,1.0,0.7311,1
110_jpg.rf.10f660cc0522eab867d86837d245a3dd,1_maturity_evaluation,1,1,0,1.0,0.7311,1
111_jpg.rf.153d0f62cd94c6c3bf44b4d7bc967278,1_maturity_evaluation,1,1,0,1.0,0.7311,1
111_jpg.rf.27deb6849d714eacd5ad9d647db92616,1_maturity_evaluation,1,1,0,1.0,0.7311,1
111_jpg.rf.d2831fc8f5ca939697b41ba8f613cc83,1_maturity_evaluation,1,1,0,1.0,0.7311,1
112_jpg.rf.2edcc5ae0e27caf40667f68e6dfc308b,1_maturity_evaluation,1,1,0,1.0,0.7311,1
112_jpg.rf.3ca353267f1048a9a553525588f414e5,1_maturity_evaluation,1,1,0,1.0,0.7311,1
112_jpg.rf.a56c80658b5caf64987e6ed591b5fe04,1_maturity_evaluation,1,1,0,1.0,0.7311,1
113_jpg.rf.cf197cf519c1270cc96b390771a9ce9e,1_maturity_evaluation,1,1,0,1.0,0.7311,1
113_jpg.rf.dc8cc84a2623b5717a7cba84ed26542f,1_maturity_evaluation,1,1,0,1.0,0.7311,1
113_jpg.rf.f93e6648742628073c28a87379b73e05,1_maturity_evaluation,1,1,0,1.0,0.7311,1
114_jpg.rf.2db07d6494514ec3243f5299570e1702,1_maturity_evaluation,1,1,0,1.0,0.7311,1
114_jpg.rf.4cddae52ef4901d47d39ef2908f40f87,1_maturity_evaluation,1,1,0,1.0,0.7311,1
114_jpg.rf.7a68f7ad349bcf68bbf0b4574de0361e,1_maturity_evaluation,1,1,0,1.0,0.7311,1
