gold_id,image_id,source,task_native,path
G016,748_jpg.rf.682425bc996dd9267e812025f251e96c,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/748_jpg.rf.682425bc996dd9267e812025f251e96c.jpg
G017,053_jpg.rf.0a5abe5fbf66f06c41dcb869cb43248b,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/053_jpg.rf.0a5abe5fbf66f06c41dcb869cb43248b.jpg
G018,601_jpg.rf.3e4c772567ccc26f3eb77b04cf1a8c5f,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/601_jpg.rf.3e4c772567ccc26f3eb77b04cf1a8c5f.jpg
G019,111_jpg.rf.153d0f62cd94c6c3bf44b4d7bc967278,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/111_jpg.rf.153d0f62cd94c6c3bf44b4d7bc967278.jpg
G020,062_jpg.rf.ac95db25f27ea09ca0c30238c43e8095,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/062_jpg.rf.ac95db25f27ea09ca0c30238c43e8095.jpg
G021,657_jpg.rf.0d9711505e045d97085937a3dd034d02,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/657_jpg.rf.0d9711505e045d97085937a3dd034d02.jpg
G022,503_jpg.rf.9cb32c1b22f1a465a62cc09d8d76d701,coconut-veirf-v5/test,1_maturity_evaluation,Dataset/coconut-veirf-v5/test/images/503_jpg.rf.9cb32c1b22f1a465a62cc09d8d76d701.jpg
G023,637_jpg.rf.314812f2336cd2096a42f2e2ed60c2b6,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/637_jpg.rf.314812f2336cd2096a42f2e2ed60c2b6.jpg
G024,090_jpg.rf.746355ed00064913ca06f842f30c30ca,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/090_jpg.rf.746355ed00064913ca06f842f30c30ca.jpg
G025,02_jpg.rf.1a1d0ce506e8a23fe8f78a880e1ba3e5,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/02_jpg.rf.1a1d0ce506e8a23fe8f78a880e1ba3e5.jpg
G026,081_jpg.rf.449d3c0358eaf9bec929a92fbd41a970,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/081_jpg.rf.449d3c0358eaf9bec929a92fbd41a970.jpg
G027,534_jpg.rf.3662e186d5a4c86278f2554c5fe5d0f8,coconut-veirf-v5/test,1_maturity_evaluation,Dataset/coconut-veirf-v5/test/images/534_jpg.rf.3662e186d5a4c86278f2554c5fe5d0f8.jpg
G028,0100_jpg.rf.0d343bad8dab2daf913d921a776694e7,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/0100_jpg.rf.0d343bad8dab2daf913d921a776694e7.jpg
G029,756_jpg.rf.6310ca62273111c54bd451111b485f7d,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/756_jpg.rf.6310ca62273111c54bd451111b485f7d.jpg
G030,714_jpg.rf.cd5ae7fc3335a8659e318d3b0612ef5e,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/714_jpg.rf.cd5ae7fc3335a8659e318d3b0612ef5e.jpg
G031,90_jpg.rf.1a6838e653005182b1cfc4bc1e7deafe,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/90_jpg.rf.1a6838e653005182b1cfc4bc1e7deafe.jpg
G032,639_jpg.rf.b3f264e182e2e87ad17be685e8f5b430,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/639_jpg.rf.b3f264e182e2e87ad17be685e8f5b430.jpg
G033,63_jpg.rf.80a6fb58202f20939c4dc429ccf137b9,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/63_jpg.rf.80a6fb58202f20939c4dc429ccf137b9.jpg
G034,55_jpeg.rf.1b2dd7bacf946b5ba085df8a1d4e7869,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/55_jpeg.rf.1b2dd7bacf946b5ba085df8a1d4e7869.jpg
G035,065_jpg.rf.74d068653c1483b865ce3ca36bf93714,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/065_jpg.rf.74d068653c1483b865ce3ca36bf93714.jpg
G036,046_jpeg.rf.18fc9e843c6d9d7ff00f26f088357550,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/046_jpeg.rf.18fc9e843c6d9d7ff00f26f088357550.jpg
G037,736_jpg.rf.21603b63999ebce50e1372f53d920366,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/736_jpg.rf.21603b63999ebce50e1372f53d920366.jpg
G038,646_jpg.rf.163c6b3086ff4905a600c6af037760d1,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/646_jpg.rf.163c6b3086ff4905a600c6af037760d1.jpg
G039,07_jpg.rf.0f23d3d4c678de04e163a34aee36da16,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/07_jpg.rf.0f23d3d4c678de04e163a34aee36da16.jpg
G040,629_jpg.rf.20d7d60339bcdfccb53f55ff730007a2,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/629_jpg.rf.20d7d60339bcdfccb53f55ff730007a2.jpg
G041,85_jpg.rf.8d2d5ea75e6701843381e74b682a9b28,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/85_jpg.rf.8d2d5ea75e6701843381e74b682a9b28.jpg
G042,673_jpg.rf.25a7badcde431c1470c6cd0d0a7e67fa,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/673_jpg.rf.25a7badcde431c1470c6cd0d0a7e67fa.jpg
G043,616_jpg.rf.4035ce0e3872d6d3fd9f57b9c8612655,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/616_jpg.rf.4035ce0e3872d6d3fd9f57b9c8612655.jpg
G044,88_jpg.rf.08ec1f6f2f0d6170b4fc018f72a12543,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/88_jpg.rf.08ec1f6f2f0d6170b4fc018f72a12543.jpg
G045,04_jpg.rf.1ac4fcee4634cad16b6d444f2ec38d3c,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/04_jpg.rf.1ac4fcee4634cad16b6d444f2ec38d3c.jpg
G046,713_jpg.rf.5b815bd6bdf3b29074453947269bb20f,coconut-veirf-v5/test,1_maturity_evaluation,Dataset/coconut-veirf-v5/test/images/713_jpg.rf.5b815bd6bdf3b29074453947269bb20f.jpg
G047,626_jpg.rf.64e1c5346ff31fccb9e639c6fced54a6,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/626_jpg.rf.64e1c5346ff31fccb9e639c6fced54a6.jpg
G048,11_jpg.rf.4abe98a1e65a34a5611aec3a6deb1a1d,coconut-veirf-v5/test,1_maturity_evaluation,Dataset/coconut-veirf-v5/test/images/11_jpg.rf.4abe98a1e65a34a5611aec3a6deb1a1d.jpg
G049,721_jpg.rf.4d0734c31e6de0559b311e9f3482334f,coconut-veirf-v5/test,1_maturity_evaluation,Dataset/coconut-veirf-v5/test/images/721_jpg.rf.4d0734c31e6de0559b311e9f3482334f.jpg
G050,26_jpg.rf.b4ad46d76046277a59923eea1ca19add,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/26_jpg.rf.b4ad46d76046277a59923eea1ca19add.jpg
G051,51_jpg.rf.5268b43c8550382ff1a17187c5e610d7,coconut-veirf-v5/test,1_maturity_evaluation,Dataset/coconut-veirf-v5/test/images/51_jpg.rf.5268b43c8550382ff1a17187c5e610d7.jpg
G052,08_jpg.rf.0286ef27b25b2857d4ffab88bb5ffaad,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/08_jpg.rf.0286ef27b25b2857d4ffab88bb5ffaad.jpg
G053,732_jpg.rf.30cffc07083b4ac771c53383970bf763,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/732_jpg.rf.30cffc07083b4ac771c53383970bf763.jpg
G054,055_jpeg.rf.48b25d091dadf1161944a77b019a0985,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/055_jpeg.rf.48b25d091dadf1161944a77b019a0985.jpg
G055,612_jpg.rf.3637976aeb727ff87995e468c1ee4dcf,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/612_jpg.rf.3637976aeb727ff87995e468c1ee4dcf.jpg
G056,27_jpg.rf.a678d2aafba8b585fe5274b44f81df57,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/27_jpg.rf.a678d2aafba8b585fe5274b44f81df57.jpg
G057,58_jpg.rf.04ec6de6b183c7dacc6f7bde7cb42774,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/58_jpg.rf.04ec6de6b183c7dacc6f7bde7cb42774.jpg
G058,089_jpg.rf.fa1ba0a7d3f53d8e5987bd14527ffc0d,coconut-veirf-v5/valid,1_maturity_evaluation,Dataset/coconut-veirf-v5/valid/images/089_jpg.rf.fa1ba0a7d3f53d8e5987bd14527ffc0d.jpg
G059,757_jpg.rf.22ac0c9431289496601e452c8607b49b,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/757_jpg.rf.22ac0c9431289496601e452c8607b49b.jpg
G060,718_jpg.rf.23047ea4a26eeecb5d70b2db7d6c86b9,coconut-veirf-v5/train,1_maturity_evaluation,Dataset/coconut-veirf-v5/train/images/718_jpg.rf.23047ea4a26eeecb5d70b2db7d6c86b9.jpg
G061,GrayLeafSpot1960,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1960.jpg
G062,GrayLeafSpot2083,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot2083.jpg
G063,GrayLeafSpot781,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot781.jpg
G064,LeafRot164,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot164.jpg
G065,LeafRot166,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot166.jpg
G066,GrayLeafSpot245,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot245.jpg
G067,LeafRot1659,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1659.jpg
G068,LeafRot1219,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1219.jpg
G069,GrayLeafSpot999,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot999.jpg
G070,GrayLeafSpot1026,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1026.jpg
G071,GrayLeafSpot704,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot704.jpg
G072,LeafRot772,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot772.jpg
G073,LeafRot372,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot372.jpg
G074,GrayLeafSpot1693,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1693.jpg
G075,GrayLeafSpot934,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot934.jpg
G076,LeafRot1503,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1503.jpg
G077,LeafRot994,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot994.jpg
G078,LeafRot365,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot365.jpg
G079,GrayLeafSpot1702,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1702.jpg
G080,GrayLeafSpot1998,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1998.jpg
G081,GrayLeafSpot349,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot349.jpg
G082,GrayLeafSpot512,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot512.jpg
G083,GrayLeafSpot1951,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1951.jpg
G084,LeafRot086,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot086.jpg
G085,LeafRot437,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot437.jpg
G086,LeafRot140,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot140.jpg
G087,GrayLeafSpot1416,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1416.jpg
G088,GrayLeafSpot1238,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1238.jpg
G089,LeafRot1182,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1182.jpg
G090,GrayLeafSpot1668,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1668.jpg
G091,LeafRot889,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot889.jpg
G092,GrayLeafSpot364,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot364.jpg
G093,GrayLeafSpot695,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot695.jpg
G094,GrayLeafSpot1427,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1427.jpg
G095,GrayLeafSpot517,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot517.jpg
G096,GrayLeafSpot378,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot378.jpg
G097,LeafRot513,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot513.jpg
G098,LeafRot1525,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1525.jpg
G099,LeafRot617,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot617.jpg
G100,LeafRot139,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot139.jpg
G101,LeafRot1012,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1012.jpg
G102,GrayLeafSpot1828,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1828.jpg
G103,LeafRot1250,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1250.jpg
G104,GrayLeafSpot729,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot729.jpg
G105,LeafRot1590,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1590.jpg
G106,LeafRot392,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot392.jpg
G107,GrayLeafSpot157,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot157.jpg
G108,LeafRot711,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot711.jpg
G109,LeafRot1591,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1591.jpg
G110,GrayLeafSpot1162,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1162.jpg
G111,GrayLeafSpot1325,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1325.jpg
G112,GrayLeafSpot1172,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1172.jpg
G113,GrayLeafSpot1647,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1647.jpg
G114,GrayLeafSpot1117,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1117.jpg
G115,LeafRot1628,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot1628.jpg
G116,LeafRot986,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot986.jpg
G117,LeafRot501,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot501.jpg
G118,LeafRot193,disease/Leaf Rot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot193.jpg
G119,GrayLeafSpot1727,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1727.jpg
G120,GrayLeafSpot1123,disease/Gray Leaf Spot,2_foliar_disease,Dataset/Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1123.jpg
G121,StemBleeding194,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding194.jpg
G122,StemBleeding572,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding572.jpg
G123,StemBleeding106,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding106.jpg
G124,StemBleeding907,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding907.jpg
G125,StemBleeding201,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding201.jpg
G126,StemBleeding022,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding022.jpg
G127,StemBleeding307,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding307.jpg
G128,StemBleeding641,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding641.jpg
G129,StemBleeding016,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding016.jpg
G130,StemBleeding990,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding990.jpg
G131,StemBleeding432,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding432.jpg
G132,StemBleeding612,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding612.jpg
G133,StemBleeding805,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding805.jpg
G134,StemBleeding397,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding397.jpg
G135,StemBleeding211,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding211.jpg
G136,StemBleeding813,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding813.jpg
G137,StemBleeding315,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding315.jpg
G138,StemBleeding668,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding668.jpg
G139,StemBleeding130,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding130.jpg
G140,StemBleeding419,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding419.jpg
G141,StemBleeding539,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding539.jpg
G142,StemBleeding758,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding758.jpg
G143,StemBleeding182,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding182.jpg
G144,StemBleeding270,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding270.jpg
G145,StemBleeding540,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding540.jpg
G146,StemBleeding289,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding289.jpg
G147,StemBleeding018,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding018.jpg
G148,StemBleeding626,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding626.jpg
G149,StemBleeding544,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding544.jpg
G150,StemBleeding095,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding095.jpg
G151,StemBleeding928,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding928.jpg
G152,StemBleeding436,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding436.jpg
G153,StemBleeding472,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding472.jpg
G154,StemBleeding974,disease/Stem Bleeding,3_trunk_disease,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding974.jpg
