epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,1906.33,0.75877,0.90293,1.21672,0.53991,0.59736,0.57755,0.40896,0.95215,1.33879,1.41561,0.00100459,0.00100459,0.00100459
26,1984.73,0.75897,0.92037,1.2288,0.74021,0.56455,0.64462,0.45132,1.11627,1.50822,1.61864,0.000986903,0.000986903,0.000986903
27,2063.21,0.7335,0.87311,1.20346,0.72333,0.63641,0.69232,0.49519,1.01161,1.46765,1.45001,0.000969219,0.000969219,0.000969219
28,2141.26,0.70349,0.83302,1.17742,0.59529,0.69626,0.64318,0.45702,0.99575,1.7365,1.46853,0.000951535,0.000951535,0.000951535
29,2218.95,0.69815,0.81703,1.19047,0.59005,0.68564,0.70081,0.54428,0.83874,1.13445,1.34396,0.000933851,0.000933851,0.000933851
30,2291.66,0.6793,0.81554,1.1649,0.75344,0.70747,0.76046,0.57151,0.85702,1.29324,1.32264,0.000916168,0.000916168,0.000916168
31,2368.07,0.66528,0.77073,1.16252,0.68634,0.67157,0.70853,0.51781,0.86518,1.2574,1.35201,0.000898484,0.000898484,0.000898484
32,2445.76,0.6737,0.78492,1.16349,0.62464,0.6743,0.68441,0.52194,0.92904,1.41294,1.41018,0.0008808,0.0008808,0.0008808
33,2522.42,0.67176,0.75851,1.16148,0.79075,0.73093,0.77916,0.58376,0.88661,1.28714,1.40281,0.000863116,0.000863116,0.000863116
34,2597.19,0.66164,0.74515,1.16994,0.69811,0.71319,0.70887,0.5003,0.98874,1.43782,1.49845,0.000845432,0.000845432,0.000845432
35,2673.71,0.65696,0.75035,1.15852,0.71562,0.73529,0.76799,0.56246,0.87858,1.19837,1.35548,0.000827748,0.000827748,0.000827748
36,2747,0.66047,0.73973,1.16025,0.71145,0.76472,0.7669,0.57626,0.83738,1.2669,1.29874,0.000810064,0.000810064,0.000810064
37,2820.87,0.66507,0.75357,1.15506,0.71026,0.67684,0.72813,0.5385,0.80801,1.34915,1.2826,0.00079238,0.00079238,0.00079238
38,2894.88,0.65044,0.70418,1.15629,0.74517,0.75467,0.77877,0.55862,0.89454,1.19927,1.34686,0.000774697,0.000774697,0.000774697
39,2967.46,0.63987,0.69696,1.15473,0.67748,0.72552,0.68035,0.52034,0.84386,1.28433,1.29341,0.000757013,0.000757013,0.000757013
40,3039.93,0.62148,0.67666,1.12733,0.70023,0.62403,0.68918,0.54925,0.77443,1.20681,1.26817,0.000739329,0.000739329,0.000739329
41,3112.52,0.61222,0.67401,1.12752,0.76447,0.68381,0.72071,0.53311,0.85205,1.29671,1.37919,0.000721645,0.000721645,0.000721645
42,3185.47,0.61314,0.66721,1.11863,0.72635,0.70192,0.69317,0.54638,0.79096,1.40737,1.29581,0.000703961,0.000703961,0.000703961
43,3258.08,0.62144,0.67758,1.13541,0.75013,0.65058,0.68524,0.52711,0.79399,1.29251,1.26681,0.000686277,0.000686277,0.000686277
44,3330.61,0.59729,0.63858,1.11971,0.66093,0.67105,0.65984,0.51458,0.78626,1.39863,1.27265,0.000668593,0.000668593,0.000668593
45,3403.82,0.59496,0.62631,1.10998,0.69319,0.74241,0.76392,0.59998,0.78704,1.39543,1.28129,0.000650909,0.000650909,0.000650909
46,3476.3,0.5741,0.60611,1.10383,0.68974,0.74946,0.72105,0.55742,0.80403,1.22294,1.28851,0.000633226,0.000633226,0.000633226
47,3549.48,0.58443,0.61726,1.11884,0.69567,0.73162,0.73013,0.57229,0.78176,1.10851,1.27128,0.000615542,0.000615542,0.000615542
48,3622.07,0.57689,0.63999,1.11171,0.77249,0.69941,0.74046,0.57148,0.77811,1.26022,1.25796,0.000597858,0.000597858,0.000597858
49,3695.01,0.57687,0.60587,1.10789,0.69839,0.73844,0.73288,0.57529,0.75331,1.18637,1.24359,0.000580174,0.000580174,0.000580174
50,3768.08,0.56847,0.5969,1.1055,0.81023,0.66183,0.77886,0.59355,0.81117,1.28236,1.36364,0.00056249,0.00056249,0.00056249
51,3841.04,0.55757,0.56398,1.09544,0.7689,0.72519,0.73678,0.53912,0.80827,1.39076,1.3127,0.000544806,0.000544806,0.000544806
52,3913.47,0.52871,0.57234,1.08503,0.63264,0.795,0.73837,0.53947,0.79634,1.18359,1.31278,0.000527122,0.000527122,0.000527122
53,3985.92,0.54101,0.54384,1.07989,0.74852,0.73002,0.76554,0.59054,0.78045,1.17789,1.27799,0.000509438,0.000509438,0.000509438
54,4058.36,0.53833,0.54544,1.07297,0.68629,0.80102,0.75838,0.5888,0.78728,1.25953,1.28799,0.000491755,0.000491755,0.000491755
55,4131.09,0.53667,0.5724,1.06967,0.63683,0.8034,0.75754,0.59691,0.78872,1.25941,1.32279,0.000474071,0.000474071,0.000474071
56,4203.49,0.52979,0.56232,1.07099,0.74205,0.78172,0.7671,0.6122,0.77667,1.22801,1.30574,0.000456387,0.000456387,0.000456387
57,4274.91,0.52031,0.5278,1.06976,0.69682,0.78889,0.78659,0.61706,0.7307,1.23086,1.23192,0.000438703,0.000438703,0.000438703
58,4347.21,0.51726,0.53055,1.06308,0.70087,0.77462,0.7495,0.58313,0.82013,1.23893,1.3306,0.000421019,0.000421019,0.000421019
59,4420.26,0.52117,0.53706,1.07299,0.66454,0.76189,0.75452,0.58961,0.76567,1.26527,1.26012,0.000403335,0.000403335,0.000403335
60,4493.03,0.5254,0.53954,1.0734,0.70092,0.76521,0.76609,0.6135,0.77324,1.24472,1.2474,0.000385651,0.000385651,0.000385651
61,4565.77,0.49535,0.50444,1.05136,0.74591,0.72095,0.72037,0.58017,0.78041,1.29102,1.26769,0.000367967,0.000367967,0.000367967
62,4638.55,0.49912,0.50087,1.05323,0.74792,0.7143,0.75068,0.60928,0.72954,1.27134,1.23004,0.000350284,0.000350284,0.000350284
63,4711.55,0.49061,0.50595,1.05183,0.72593,0.73158,0.72441,0.58691,0.73135,1.24105,1.24105,0.0003326,0.0003326,0.0003326
64,4784.42,0.47372,0.48153,1.03129,0.70993,0.78697,0.76044,0.61902,0.73294,1.18787,1.24833,0.000314916,0.000314916,0.000314916
65,4857.15,0.47505,0.46638,1.03372,0.68064,0.74981,0.73443,0.58525,0.73503,1.43067,1.23925,0.000297232,0.000297232,0.000297232
66,4929.89,0.48178,0.47655,1.04657,0.7321,0.74881,0.72888,0.5897,0.74905,1.313,1.24842,0.000279548,0.000279548,0.000279548
67,5002.88,0.47127,0.47582,1.04992,0.7308,0.77571,0.76156,0.57567,0.73187,1.38681,1.25286,0.000261864,0.000261864,0.000261864
68,5075.11,0.49085,0.47362,1.05322,0.78498,0.76017,0.73794,0.56642,0.74299,1.32373,1.24362,0.00024418,0.00024418,0.00024418
69,5147.43,0.45344,0.44826,1.02948,0.72578,0.78311,0.71259,0.5434,0.75967,1.3845,1.28779,0.000226497,0.000226497,0.000226497
70,5219.87,0.45097,0.45785,1.03319,0.71915,0.77052,0.72811,0.5671,0.72645,1.39024,1.25703,0.000208813,0.000208813,0.000208813
71,5291.1,0.33684,0.37841,0.94498,0.63972,0.74246,0.69025,0.54752,0.7327,1.50509,1.26905,0.000191129,0.000191129,0.000191129
72,5362.28,0.31477,0.33495,0.94198,0.69327,0.79035,0.70995,0.55668,0.70286,1.42238,1.25365,0.000173445,0.000173445,0.000173445
73,5433,0.2939,0.31289,0.91927,0.75975,0.78466,0.74846,0.56695,0.6762,1.3294,1.21497,0.000155761,0.000155761,0.000155761
74,5503.59,0.28135,0.30128,0.92207,0.77051,0.7845,0.71886,0.56607,0.66051,1.34987,1.20594,0.000138077,0.000138077,0.000138077
75,5574.29,0.2822,0.30093,0.91694,0.67433,0.78388,0.69554,0.56835,0.66612,1.40833,1.20414,0.000120393,0.000120393,0.000120393
76,5644.91,0.27439,0.2897,0.91215,0.72259,0.74732,0.70981,0.58208,0.68487,1.39029,1.22799,0.000102709,0.000102709,0.000102709
77,5715.48,0.26579,0.27858,0.8994,0.67916,0.78448,0.68924,0.56948,0.67121,1.43461,1.22004,8.50255e-05,8.50255e-05,8.50255e-05
78,5786.23,0.26979,0.27914,0.92107,0.7237,0.77417,0.7203,0.59109,0.67633,1.40966,1.23267,6.73416e-05,6.73416e-05,6.73416e-05
79,5857.1,0.27585,0.2795,0.91437,0.72043,0.77536,0.72313,0.59211,0.67592,1.41162,1.23373,4.96578e-05,4.96578e-05,4.96578e-05
