image_id,source_folder,path,quality_pass,gate_reason,lap_var,mean_bright,min_dim,lf7_1_maturity_evaluation,1_maturity_evaluation_conf,1_maturity_evaluation_reason,lf7_2_foliar_disease,2_foliar_disease_conf,2_foliar_disease_reason,lf7_3_trunk_disease,3_trunk_disease_conf,3_trunk_disease_reason,lf7_4_crown_disease,4_crown_disease_conf,4_crown_disease_reason,lf7_5_petiole,5_petiole_conf,5_petiole_reason
LeafRot129,Leaf Rot,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot129.jpg,True,,445.5,120.0,768,0,0.02,"Không thấy trái dừa nào trong ảnh, chỉ có tàu lá.",1,0.9,"Phiến lá và các lá chét hiện rõ nét, thấy rõ vùng lá chét bị khô/cháy nâu ở đầu, đủ để đánh giá tình trạng lá.",0,0.02,"Không thấy thân hoặc gốc cây, chỉ có tàu lá và phần cuống.",0,0.05,"Không thấy đỉnh đọt/ngọn cây, chỉ là một tàu lá đơn lẻ.",-1,0.6,"Có thể thấy phần sống lá/cuống chính của tàu lá vươn từ góc trên phải, đủ để nhận định tư thế dù không phải góc lý tưởng."
LeafRot148,Leaf Rot,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot148.jpg,True,,1855.0,121.6,768,0,0.02,"Không có trái dừa nào xuất hiện trong ảnh, chỉ có tàu lá.",1,0.9,"Tàu lá và các lá chét hiện rõ, có thể thấy rõ các đầu lá bị khô/cháy nâu ở một số lá chét, đủ để đánh giá tình trạng lá.",0,0.02,"Không thấy thân hoặc gốc cây, chỉ có tàu lá và bầu trời.",0,0.05,"Không nhìn thấy đỉnh đọt/ngọn cây, chỉ có một tàu lá riêng lẻ.",0,0.2,"Không thấy rõ đoạn cuống lá trơn giữa bẹ và sống lá, ảnh chỉ tập trung vào phần sống lá mang các lá chét."
LeafRot167,Leaf Rot,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot167.jpg,True,,1813.2,122.6,768,0,0.02,"Không thấy trái dừa nào trong ảnh, chỉ có tàu lá.",1,0.85,"Phiến lá và các lá chét hiện rõ, có thể quan sát các đầu lá khô/cháy đen và màu lá để đánh giá tình trạng bệnh lá.",0,0.02,"Không thấy thân hoặc gốc cây, chỉ có tàu lá và bầu trời.",0,0.05,"Không thấy đỉnh đọt/ngọn cây, chỉ thấy tàu lá riêng lẻ.",-1,0.6,"Có thể thấy phần sống lá (rachis) chính giữa tàu lá, mặc dù không thấy rõ đoạn cuống gần bẹ thân, vẫn đủ để nhận định tư thế/độ vươn của tàu lá."
LeafRot372,Leaf Rot,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot372.jpg,True,,712.9,124.6,768,0,0.02,Không thấy trái dừa nào trong ảnh.,1,0.9,"Lá dừa hiện rõ nét với các đốm cháy, khô nâu ở mép và chóp lá, đủ để đánh giá tình trạng bệnh lá.",0,0.03,Không thấy thân/gốc cây dừa trong ảnh.,0,0.05,"Không thấy đỉnh đọt/ngọn cây, chỉ thấy các tàu lá riêng lẻ.",0,0.15,"Chỉ thấy phần phiến lá và mép lá cháy, không thấy rõ đoạn cuống lá để đánh giá độ rủ hay tình trạng cuống."
LeafRot581,Leaf Rot,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot581.jpg,True,,2117.4,113.3,768,1,0.95,"Không có trái dừa nào xuất hiện trong ảnh, chỉ có tàu lá và bầu trời.",1,0.9,"Phiến lá và các lá chét hiện rõ nét, có thể thấy rõ các đầu lá cháy khô/nâu, đủ để đánh giá tình trạng bệnh lá.",1,0.95,"Không thấy thân hoặc gốc cây, ảnh chỉ chụp tàu lá từ dưới lên.",1,0.7,"Không thấy rõ đỉnh đọt/ngọn cây, chỉ thấy các tàu lá riêng lẻ, không xác định được tình trạng đọt trung tâm.",1,0.7,"Có thể thấy phần sống lá/cuống chính của tàu lá vươn thẳng lên, đủ để nhận định tư thế và độ khỏe của cuống lá."
LeafRot790,Leaf Rot,Dataset/Coconut Tree Disease Dataset/Leaf Rot/LeafRot790.jpg,True,,2766.1,126.8,768,-1,0.4,"Có thể thấy một vài quả dừa nhỏ ở gốc tàu lá nhưng bị che khuất phần lớn và kích thước nhỏ trong khung hình, khó đánh giá chính xác độ chín.",1,0.7,"Các lá chét hiện rõ nét dù chụp ngược sáng, có thể quan sát màu sắc và hình dạng tổng thể của phiến lá để đánh giá tình trạng lá.",0,0.05,"Không thấy thân cây trong ảnh, chỉ có phần ngọn và tàu lá.",-1,0.5,"Thấy được phần đỉnh ngọn/đọt với các tàu lá mới mọc, tuy không phải góc nhìn từ trên xuống lý tưởng nhưng đủ để nhận định sơ bộ tình trạng đọt.",-1,0.6,"Có thể thấy các cuống lá vươn ra từ trung tâm với độ dốc/tư thế rõ, đủ để nhận định độ rủ hoặc vươn thẳng của cuống lá."
StemBleeding001,Stem Bleeding,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding001.jpg,True,,2701.4,141.2,768,0,0.05,"Không thấy trái dừa nào trong ảnh, chỉ có thân cây.",0,0.02,Không có lá hoặc tàu lá xuất hiện trong ảnh.,1,0.95,"Ảnh cận cảnh rõ nét bề mặt thân cây, thấy rõ vết nứt và vết chảy nhựa/đổi màu sẫm, đủ để đánh giá tình trạng thân.",0,0.02,"Không thấy đỉnh đọt/ngọn cây, ảnh chỉ tập trung vào gốc thân.",0,0.03,Không có cuống lá hoặc tàu lá xuất hiện trong khung ảnh.
StemBleeding119,Stem Bleeding,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding119.jpg,True,,2297.0,150.8,576,0,0.02,"Không có trái dừa nào trong ảnh, chỉ thấy thân cây.",0,0.02,"Không thấy lá dừa trong ảnh, chỉ có thân cây.",1,0.95,"Ảnh chụp rõ cận cảnh bề mặt thân dừa, thấy rõ vết chảy nhựa/đổi màu sẫm dọc thân, đủ để đánh giá tình trạng thân.",0,0.02,"Không thấy đỉnh đọt/ngọn dừa trong ảnh, chỉ có thân cây.",0,0.02,"Không thấy cuống lá hay tàu lá trong ảnh, chỉ có thân cây."
StemBleeding245,Stem Bleeding,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding245.jpg,True,,760.1,149.7,768,0,0.02,"Không thấy trái dừa nào trong ảnh, chỉ có thân cây.",0,0.02,Không có lá hoặc tàu lá xuất hiện trong ảnh.,1,0.9,"Ảnh cận cảnh rõ nét bề mặt thân cây, thấy rõ các vết nứt, đốm nâu/đỏ và vết đen, đủ để đánh giá tình trạng thân.",0,0.02,"Không thấy đỉnh đọt/ngọn cây, chỉ có phần thân dưới.",0,0.02,"Không thấy cuống lá hoặc tàu lá trong ảnh, chỉ có thân cây."
StemBleeding371,Stem Bleeding,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding371.jpg,True,,785.5,138.4,768,1,0.97,"Ảnh chỉ chụp thân cây dừa, không có trái dừa nào trong khung hình để đánh giá độ chín.",1,0.97,"Không thấy lá hoặc tàu lá dừa trong ảnh, chỉ có thân cây.",1,0.95,"Ảnh chụp cận cảnh, rõ nét phần thân/gốc cây với vết chảy nhựa/loét màu nâu đậm rõ rệt, đủ để đánh giá tình trạng bệnh thân.",1,0.97,"Không thấy đỉnh đọt/ngọn cây, ảnh chỉ tập trung vào gốc thân.",1,0.95,"Không thấy cuống lá hoặc bất kỳ phần lá nào trong ảnh, chỉ có thân cây."
StemBleeding497,Stem Bleeding,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding497.jpg,True,,1009.9,130.3,768,1,0.97,"Ảnh chỉ chụp thân dừa cận cảnh, không thấy trái nào để đánh giá độ chín.",1,0.97,"Không thấy phiến lá/tàu lá trong ảnh, chỉ có thân cây.",1,0.95,"Ảnh cận cảnh rõ nét bề mặt thân dừa với các vết nứt, đổi màu nâu đỏ và vết chảy nhựa, đủ để đánh giá tình trạng thân.",1,0.97,"Không thấy đỉnh đọt/ngọn dừa trong ảnh, chỉ có phần thân.",1,0.95,"Không thấy cuống lá hay tàu lá nào trong ảnh, chỉ có thân cây."
StemBleeding622,Stem Bleeding,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding622.jpg,True,,272.6,149.2,768,0,0.02,"Không thấy trái dừa nào trong ảnh, chỉ có thân cây.",0,0.02,Không có lá hoặc tàu lá xuất hiện trong ảnh.,1,0.9,"Ảnh cận cảnh rõ nét bề mặt thân cây, cho thấy vết chảy nhựa/loét màu nâu đỏ, đủ để đánh giá tình trạng thân.",0,0.02,"Không thấy đỉnh đọt/ngọn cây trong ảnh, chỉ tập trung vào thân.",0,0.02,Không có cuống lá hoặc tàu lá xuất hiện trong ảnh.
StemBleeding748,Stem Bleeding,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding748.jpg,True,,376.1,169.1,768,0,0.02,"Không có trái dừa nào trong ảnh, chỉ thấy thân cây.",0,0.02,"Không có lá hoặc phiến lá trong ảnh, chỉ thấy thân cây.",1,0.9,"Ảnh cận cảnh rõ nét bề mặt thân với các vết nứt và đốm đen/nâu, đủ để đánh giá tình trạng thân.",0,0.02,"Không thấy đỉnh đọt/ngọn cây, chỉ có ảnh cận cảnh phần thân.",0,0.02,"Không thấy cuống lá hoặc bất kỳ phần lá nào trong ảnh, chỉ có thân cây."
StemBleeding874,Stem Bleeding,Dataset/Coconut Tree Disease Dataset/Stem Bleeding/StemBleeding874.jpg,True,,1023.2,154.5,768,0,0.02,"Ảnh chỉ chụp cận cảnh thân dừa, không thấy trái nào để đánh giá độ chín.",0,0.02,Không có lá hoặc phiến lá xuất hiện trong ảnh.,1,0.9,"Ảnh cận cảnh rõ nét bề mặt thân dừa, thấy rõ các vết nứt, đổi màu và vết chảy nhựa/loét sẫm màu để đánh giá tình trạng thân.",0,0.02,"Không thấy đỉnh đọt/ngọn dừa trong ảnh, chỉ có thân cây.",0,0.02,"Không có cuống lá hoặc tàu lá xuất hiện trong ảnh, chỉ là bề mặt thân cây."
BudRot001,Bud Rot,Dataset/Coconut Tree Disease Dataset/Bud Rot/BudRot001.jpg,True,,1721.2,118.8,768,0,0.05,"Không có trái dừa nào xuất hiện trong ảnh, chỉ có lá và thân cây non.",1,0.75,"Nhiều phiến lá và tàu lá hiện rõ, có thể quan sát các đốm đen nhỏ trên bẹ lá, đủ để đánh giá tình trạng lá.",-1,0.6,"Có thể thấy phần gốc/bẹ thân với các sợi xơ và màu sắc, đủ để quan sát tổng quát tình trạng thân dù đây là cây còn non.",-1,0.6,"Vùng đỉnh sinh trưởng/đọt non ở giữa ảnh có thể quan sát được với các lá non mới nhô lên, đủ để đánh giá tình trạng đọt.",1,0.7,"Các cuống lá/bẹ lá vươn ra từ gốc thân hiện rõ, có thể quan sát độ thẳng/rủ của chúng."
BudRot059,Bud Rot,Dataset/Coconut Tree Disease Dataset/Bud Rot/BudRot059.jpg,True,,4510.9,127.3,768,0,0.05,"Không thấy trái dừa nào trong ảnh, chỉ có lá và tàu lá.",1,0.75,"Nhiều tàu lá và phiến lá hiện rõ, có thể quan sát màu sắc và tình trạng lá dù một số phần bị chồng chéo.",0,0.2,"Chỉ thấy phần cuống lá và bẹ lá phía trên, không thấy rõ bề mặt thân chính để đánh giá loét/chảy nhựa.",-1,0.55,"Có thể thấy phần đọt non ở trung tâm các tàu lá vươn lên, tuy góc chụp từ dưới hơi hạn chế view từ trên xuống.",1,0.7,"Các cuống lá/bẹ lá hiện rõ với tư thế vươn thẳng, có thể đánh giá độ rủ và tình trạng chung."
BudRot118,Bud Rot,Dataset/Coconut Tree Disease Dataset/Bud Rot/BudRot118.jpg,True,,899.1,123.7,768,0,0.02,"Không có trái dừa nào hiện diện trong ảnh, chỉ có lá và cuống lá.",1,0.75,"Phiến lá và tàu lá hiện rõ, đủ nét để quan sát tình trạng mặt lá, không thấy đốm/cháy rõ.",0,0.05,"Không thấy bề mặt thân/gốc cây, chỉ có lá và cuống lá.",0,0.1,"Không thấy đỉnh đọt/ngọn cây, ảnh chỉ tập trung vào phần lá và cuống lá gần gốc bẹ.",1,0.85,"Có thể thấy rõ cuống lá (phần thân giữa màu vàng nhạt) cùng phần xơ khô ở gốc bẹ, đủ để đánh giá tư thế và tình trạng."
BudRot177,Bud Rot,Dataset/Coconut Tree Disease Dataset/Bud Rot/BudRot177.jpg,True,,1410.2,132.3,768,0,0.05,"Không thấy trái dừa nào trong ảnh, chỉ có lá và cuống lá.",1,0.75,"Nhiều phiến lá và tàu lá hiện rõ, đủ nét để đánh giá tình trạng mặt lá, không thấy đốm hay cháy lá.",0,0.15,"Thân cây bị che khuất phần lớn bởi các bẹ lá và sợi xơ, chỉ thấy một đoạn nhỏ không đủ để đánh giá tình trạng thân.",0,0.2,"Không thấy rõ đỉnh đọt/ngọn từ góc nhìn này, chủ yếu là các bẹ lá và cuống lá xen lẫn xơ khô.",1,0.7,"Có thể thấy các cuống lá vươn ra từ thân, một số thẳng và một số hơi cong, đủ để nhận định tư thế và độ khỏe của cuống lá."
BudRot236,Bud Rot,Dataset/Coconut Tree Disease Dataset/Bud Rot/BudRot236.jpg,True,,849.6,122.7,768,0,0.02,"Không thấy trái dừa nào trong ảnh, chỉ có lá và đọt non.",1,0.7,"Nhiều phiến lá/tàu lá hiện rõ, cho phép quan sát mặt lá, màu sắc và các đốm nếu có.",0,0.15,"Chỉ thấy phần gốc bẹ lá và mô sợi khô quanh gốc, không thấy bề mặt thân chính đủ rõ để đánh giá bệnh thân.",1,0.85,"Đọt non/lá giáo (spear leaf) hiện rõ ở giữa ảnh, có màu nâu khô và héo, thấy rõ dấu hiệu bất thường ở đỉnh sinh trưởng.",-1,0.6,"Có thể thấy phần cuống của các tàu lá gần gốc, độ vươn/rủ và màu sắc tương đối rõ để nhận định tình trạng."
BudRot294,Bud Rot,Dataset/Coconut Tree Disease Dataset/Bud Rot/BudRot294.jpg,True,,1175.8,119.6,768,0,0.02,"Không có trái dừa nào trong ảnh, chỉ thấy lá và cuống lá non.",1,0.7,"Thấy rõ nhiều phiến lá với các sọc gân lá, đủ nét để đánh giá tình trạng mặt lá, không thấy đốm/cháy rõ.",0,0.1,"Không thấy bề mặt thân chính hoặc gốc cây, chỉ thấy các bẹ lá non và cuống lá.",0,0.15,"Không thấy rõ đỉnh đọt/ngọn từ trên xuống, chỉ thấy các lá non đang mở và bẹ lá khô.",1,0.75,"Thấy rõ đoạn cuống lá non màu vàng nhạt vươn thẳng lên, có thể đánh giá tư thế và tình trạng của nó."
BudRot353,Bud Rot,Dataset/Coconut Tree Disease Dataset/Bud Rot/BudRot353.jpg,True,,3254.6,109.8,768,0,0.05,"Không thấy trái dừa nào trong ảnh, chỉ có tàu lá và đọt non.",1,0.85,"Nhiều phiến lá và tàu lá hiện rõ, đủ nét để đánh giá tình trạng mặt lá, không thấy đốm/cháy rõ ràng.",-1,0.5,"Có thể thấy một phần gốc thân phía dưới nhưng bị lá che khuất nhiều, chỉ đủ để đánh giá sơ bộ.",1,0.7,"Đọt non (lá non chưa mở) hiện rõ ở trung tâm ảnh, có thể quan sát màu sắc và hình dạng để đánh giá tình trạng đọt.",1,0.75,"Có thể thấy các cuống lá vươn ra từ trung tâm, độ thẳng và tư thế của chúng khá rõ để đánh giá."
BudRot412,Bud Rot,Dataset/Coconut Tree Disease Dataset/Bud Rot/BudRot412.jpg,True,,3089.8,124.5,768,0,0.02,"Không thấy trái dừa trong ảnh, chỉ có lá và đọt non.",1,0.85,"Nhiều phiến lá và tàu lá hiện rõ, đủ nét để đánh giá tình trạng mặt lá, không thấy đốm hay cháy lá.",0,0.1,"Thân cây bị che khuất hoàn toàn bởi các tàu lá, chỉ thấy một phần gốc nhỏ phía dưới không đủ để đánh giá.",1,0.75,"Đọt non ở giữa ảnh hiện rõ với phần lá chưa mở và mô khô/nâu ở gốc đọt, đủ để đánh giá tình trạng đọt.",1,0.7,"Có thể thấy phần cuống lá/bẹ lá vươn thẳng ở trung tâm ảnh, đủ để nhận định tư thế và tình trạng của cuống."
BudRootDropping001,Bud Root Dropping,Dataset/Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping001.jpg,True,,4965.0,124.4,768,-1,0.6,"Có vài trái dừa nhỏ màu nâu thấy được ở giữa các bẹ lá khô, nhưng bị che khuất nhiều nên khó đánh giá đầy đủ hình dạng/kích thước.",0,0.3,"Các tàu lá phía trước chủ yếu là bẹ khô, xơ; lá xanh chỉ thấy ở phía sau và bị mờ/xa, không đủ nét để đánh giá mặt lá.",0,0.2,"Phần thân chính chỉ thấy một đoạn nhỏ ở góc dưới, bị che khuất bởi các bẹ lá khô, không đủ để đánh giá bề mặt thân.",-1,0.65,"Có thể thấy phần đọt/ngọn ở trên cùng với các lá non cuộn lại, đủ để nhận định sơ bộ tình trạng đọt.",1,0.7,"Nhiều cuống lá khô, rủ xuống rõ ràng, thấy rõ độ rủ và tình trạng héo/khô của các cuống lá."
BudRootDropping065,Bud Root Dropping,Dataset/Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping065.jpg,True,,2913.0,127.6,768,0,0.05,"Không thấy trái dừa nào trong ảnh, chỉ có tán lá và ngọn cây.",-1,0.55,"Thấy được các tàu lá và phiến lá dù bị ngược sáng (backlit), có thể nhận diện hình dạng và một số lá khô/héo ở phía dưới.",0,0.1,"Thân cây hầu như không thấy rõ, bị che khuất bởi các tàu lá, chỉ thấy một phần nhỏ gốc lá gần đọt.",-1,0.5,"Có thể thấy phần đỉnh ngọn/đọt ở trung tâm ảnh với các lá non mọc lên, tuy góc chụp từ dưới lên và ngược sáng làm giảm độ rõ.",-1,0.6,"Có thể quan sát các cuống lá với độ rủ khác nhau, một số vươn ngang và một số rủ xuống, đủ để nhận định về tư thế của tàu lá."
BudRootDropping129,Bud Root Dropping,Dataset/Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping129.jpg,True,,2229.6,130.0,768,0,0.02,"Không có trái dừa nào hiện diện trong ảnh, chỉ là cây dừa non chưa ra trái.",1,0.8,"Tàu lá và phiến lá hiện rõ, có thể quan sát màu sắc và tình trạng lá, một số lá có vẻ hơi vàng/khô ở phần dưới.",-1,0.6,"Phần thân dưới gốc cây hiện rõ với vân thân đặc trưng, đủ để đánh giá tình trạng bề mặt thân, tuy phần thân trên bị lá che khuất.",-1,0.6,"Đỉnh đọt của cây có thể thấy phần lá non mọc lên ở trung tâm, dù góc chụp không phải từ trên xuống nhưng vẫn quan sát được phần đọt non.",1,0.7,"Có thể thấy cuống lá vươn thẳng từ thân lên các tàu lá, cho thấy tư thế dựng đứng khỏe mạnh, không có dấu hiệu rũ hay gãy gập."
BudRootDropping193,Bud Root Dropping,Dataset/Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping193.jpg,True,,3094.1,116.2,768,0,0.05,"Không thấy trái dừa nào trong ảnh, chỉ có tàu lá và thân.",1,0.85,"Nhiều tàu lá và lá chét hiện rõ, có thể thấy lá khô nâu, cháy mép lan rộng, đủ để đánh giá tình trạng bệnh lá.",-1,0.55,"Một phần thân dừa phía dưới hiện ra, tuy nhỏ và góc chụp hạn chế nhưng có thể thấy bề mặt vỏ thân để đánh giá sơ bộ.",-1,0.6,"Vùng đọt/ngọn dừa bị che khuất nhiều bởi lá khô nhưng vẫn thấy phần trung tâm với các lá non mọc lên, có thể nhận định sơ bộ tình trạng đọt.",1,0.75,"Có thể thấy các cuống lá (phần gốc cứng của tàu lá) với nhiều tàu lá khô rũ xuống, cho thấy dấu hiệu héo/khô rõ rệt."
